feature,decision,reason,correlation_with_target,missing_pct
team_fieldGoalsPercentage_roll_30,drop,redundant first-pass feature family based on EDA redundancy review,0.0052912745991392,0.20052408477842
team_fieldGoalsPercentage_std_30,drop,redundant first-pass feature family based on EDA redundancy review,-0.0068042901072105,0.20052408477842
team_fieldGoalsPercentage_momentum_5_vs_10,drop,redundant first-pass feature family based on EDA redundancy review,0.0032397572480334,0.20052408477842
team_fieldGoalsPercentage_momentum_10_vs_30,drop,redundant first-pass feature family based on EDA redundancy review,0.003826122345211,0.20052408477842
team_fieldGoalsPercentage_z_5_vs_30,drop,redundant first-pass feature family based on EDA redundancy review,0.0044574492891284,0.20052408477842
team_fieldGoalsPercentage_z_10_vs_30,drop,redundant first-pass feature family based on EDA redundancy review,0.003842607954112,0.20052408477842
team_threePointersPercentage_roll_5,eligible,eligible for at least one first-pass feature set,0.0061726955195093,0.20052408477842
team_threePointersPercentage_roll_10,eligible,eligible for at least one first-pass feature set,0.0032056072190399,0.20052408477842
team_threePointersPercentage_roll_30,eligible,eligible for at least one first-pass feature set,0.0029902892190263,0.20052408477842
team_threePointersPercentage_std_30,eligible,eligible for at least one first-pass feature set,-0.0068364774201264,0.20052408477842
team_threePointersPercentage_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0056775574622067,0.20052408477842
team_threePointersPercentage_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0016165513963577,0.20052408477842
team_threePointersPercentage_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.005372013317031,0.20052408477842
team_threePointersPercentage_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0021921364260194,0.20052408477842
team_effectiveFieldGoalPercentage_roll_5,eligible,eligible for at least one first-pass feature set,0.0060053215759419,0.20052408477842
team_effectiveFieldGoalPercentage_roll_10,eligible,eligible for at least one first-pass feature set,0.0045910254770305,0.20052408477842
team_effectiveFieldGoalPercentage_roll_30,eligible,eligible for at least one first-pass feature set,0.0028156576275681,0.20052408477842
team_effectiveFieldGoalPercentage_std_30,eligible,eligible for at least one first-pass feature set,-0.0070181035286517,0.20052408477842
team_effectiveFieldGoalPercentage_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0038886561149561,0.20052408477842
team_effectiveFieldGoalPercentage_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0037069183515825,0.20052408477842
team_effectiveFieldGoalPercentage_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0048593355638125,0.20052408477842
team_effectiveFieldGoalPercentage_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.003656883070878,0.20052408477842
team_trueShootingPercentage_roll_5,eligible,eligible for at least one first-pass feature set,0.005977567903526,0.20052408477842
team_trueShootingPercentage_roll_10,eligible,eligible for at least one first-pass feature set,0.004772369094775,0.20052408477842
team_trueShootingPercentage_roll_30,eligible,eligible for at least one first-pass feature set,0.0028822712891648,0.20052408477842
team_trueShootingPercentage_std_30,eligible,eligible for at least one first-pass feature set,-0.0110083079674587,0.20052408477842
team_trueShootingPercentage_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0035894923695553,0.20052408477842
team_trueShootingPercentage_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0039068446379071,0.20052408477842
team_trueShootingPercentage_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0047782634761346,0.20052408477842
team_trueShootingPercentage_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0039003320624613,0.20052408477842
team_assists_roll_5,eligible,eligible for at least one first-pass feature set,0.0119370359453581,0.20052408477842
team_assists_roll_10,eligible,eligible for at least one first-pass feature set,0.0134743715257306,0.20052408477842
team_assists_roll_30,eligible,eligible for at least one first-pass feature set,0.0137765818860447,0.20052408477842
team_assists_std_30,eligible,eligible for at least one first-pass feature set,0.0002736327550038,0.20052408477842
team_assists_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0009150967851649,0.20052408477842
team_assists_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0034027284747231,0.20052408477842
team_assists_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0023799376113583,0.20052408477842
team_assists_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0034788791365871,0.20052408477842
team_reboundsTotal_roll_5,eligible,eligible for at least one first-pass feature set,0.0046523739394828,0.20052408477842
team_reboundsTotal_roll_10,eligible,eligible for at least one first-pass feature set,0.0084683791563021,0.20052408477842
team_reboundsTotal_roll_30,eligible,eligible for at least one first-pass feature set,0.0148367851878988,0.20052408477842
team_reboundsTotal_std_30,eligible,eligible for at least one first-pass feature set,0.013409698625607,0.20052408477842
team_reboundsTotal_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,-0.0035812401919641,0.20052408477842
team_reboundsTotal_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0045198862966431,0.20052408477842
team_reboundsTotal_z_5_vs_30,eligible,eligible for at least one first-pass feature set,-0.0054256141929511,0.20052408477842
team_reboundsTotal_z_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0045292313886687,0.20052408477842
team_steals_roll_5,eligible,eligible for at least one first-pass feature set,0.0060907251097146,0.20052408477842
team_steals_roll_10,eligible,eligible for at least one first-pass feature set,0.0080816475975507,0.20052408477842
team_steals_roll_30,eligible,eligible for at least one first-pass feature set,0.0116290708300056,0.20052408477842
team_steals_std_30,eligible,eligible for at least one first-pass feature set,0.004135248123028,0.20052408477842
team_steals_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,-0.0008053503101162,0.20052408477842
team_steals_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0015770220257889,0.20052408477842
team_steals_z_5_vs_30,eligible,eligible for at least one first-pass feature set,-0.0014885692459652,0.20052408477842
team_steals_z_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0018885345642592,0.20052408477842
team_blocks_roll_5,eligible,eligible for at least one first-pass feature set,0.0001281896879946,0.20052408477842
team_blocks_roll_10,eligible,eligible for at least one first-pass feature set,-0.000901960245318,0.20052408477842
team_blocks_roll_30,eligible,eligible for at least one first-pass feature set,0.0022660629259157,0.20052408477842
team_blocks_std_30,eligible,eligible for at least one first-pass feature set,-0.0033887248158072,0.20052408477842
team_blocks_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0014543467905465,0.20052408477842
team_blocks_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0040972321365445,0.20052408477842
team_blocks_z_5_vs_30,eligible,eligible for at least one first-pass feature set,-0.0017222424291078,0.20052408477842
team_blocks_z_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0041790954141607,0.20052408477842
team_turnovers_roll_5,eligible,eligible for at least one first-pass feature set,-0.0058263194635435,0.20052408477842
team_turnovers_roll_10,eligible,eligible for at least one first-pass feature set,-0.0078235833569494,0.20052408477842
team_turnovers_roll_30,eligible,eligible for at least one first-pass feature set,-0.0034380874890135,0.20052408477842
team_turnovers_std_30,eligible,eligible for at least one first-pass feature set,0.0090660551574037,0.20052408477842
team_turnovers_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0008028228334232,0.20052408477842
team_turnovers_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0080760178037234,0.20052408477842
team_turnovers_z_5_vs_30,eligible,eligible for at least one first-pass feature set,-0.0046816049987014,0.20052408477842
team_turnovers_z_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0080245051678213,0.20052408477842
team_pointsInThePaint_roll_5,eligible,eligible for at least one first-pass feature set,0.015356878474475,0.2032215799614643
team_pointsInThePaint_roll_10,eligible,eligible for at least one first-pass feature set,0.0180898054341405,0.2032215799614643
team_pointsInThePaint_roll_30,eligible,eligible for at least one first-pass feature set,0.017952559774958,0.2030366088631984
team_pointsInThePaint_std_30,eligible,eligible for at least one first-pass feature set,0.0017256665319822,0.2056416184971098
team_pointsInThePaint_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,-0.00026122512135,0.2032215799614643
team_pointsInThePaint_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0057064961181877,0.2032215799614643
team_pointsInThePaint_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0038332203021181,0.2058265895953757
team_pointsInThePaint_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0058293495233594,0.2058265895953757
team_pointsFastBreak_roll_5,eligible,eligible for at least one first-pass feature set,0.016414571168057,0.2032215799614643
team_pointsFastBreak_roll_10,eligible,eligible for at least one first-pass feature set,0.0188487490510469,0.2032215799614643
team_pointsFastBreak_roll_30,eligible,eligible for at least one first-pass feature set,0.0197874266639012,0.2030366088631984
team_pointsFastBreak_std_30,eligible,eligible for at least one first-pass feature set,0.0108786119070639,0.2056416184971098
team_pointsFastBreak_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0015759351076395,0.2032215799614643
team_pointsFastBreak_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.005046254650667,0.2032215799614643
team_pointsFastBreak_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0044222910011192,0.2057418111753371
team_pointsFastBreak_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0044247596619152,0.2057418111753371
team_pointsSecondChance_roll_5,eligible,eligible for at least one first-pass feature set,0.0055550440040529,0.2032215799614643
team_pointsSecondChance_roll_10,eligible,eligible for at least one first-pass feature set,0.008055004312323,0.2032215799614643
team_pointsSecondChance_roll_30,eligible,eligible for at least one first-pass feature set,0.0096505347104545,0.2030366088631984
team_pointsSecondChance_std_30,eligible,eligible for at least one first-pass feature set,0.0037736546120705,0.2056416184971098
team_pointsSecondChance_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,-0.0016491911294952,0.2032215799614643
team_pointsSecondChance_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0004839223817885,0.2032215799614643
team_pointsSecondChance_z_5_vs_30,eligible,eligible for at least one first-pass feature set,-0.0004959424656883,0.2056416184971098
team_pointsSecondChance_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0004442444348274,0.2056416184971098
team_pointsFromTurnovers_roll_5,eligible,eligible for at least one first-pass feature set,0.0049738724942161,0.2032215799614643
team_pointsFromTurnovers_roll_10,eligible,eligible for at least one first-pass feature set,0.0055742981391789,0.2032215799614643
team_pointsFromTurnovers_roll_30,eligible,eligible for at least one first-pass feature set,0.0064204750859142,0.2030366088631984
team_pointsFromTurnovers_std_30,eligible,eligible for at least one first-pass feature set,-0.0002196136704291,0.2056416184971098
team_pointsFromTurnovers_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0007720309388586,0.2032215799614643
team_pointsFromTurnovers_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0010178654719947,0.2032215799614643
team_pointsFromTurnovers_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0017924110998806,0.2059884393063583
team_pointsFromTurnovers_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0012160176319839,0.2059884393063583
opp_win_roll_5,eligible,eligible for at least one first-pass feature set,-0.023111568915246,0.20052408477842
opp_win_roll_10,eligible,eligible for at least one first-pass feature set,-0.0287106976262799,0.20052408477842
opp_win_roll_30,eligible,eligible for at least one first-pass feature set,-0.0352640417913909,0.20052408477842
opp_win_std_30,eligible,eligible for at least one first-pass feature set,-0.0057824316281307,0.20052408477842
opp_win_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.000260186986041,0.20052408477842
opp_win_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0017204997643165,0.20052408477842
opp_win_z_5_vs_30,eligible,eligible for at least one first-pass feature set,-0.0010409887710511,0.20052408477842
opp_win_z_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0019318769199246,0.20052408477842
opp_points_allowed_roll_5,eligible,eligible for at least one first-pass feature set,0.0385914346354522,0.20052408477842
opp_points_allowed_roll_10,eligible,eligible for at least one first-pass feature set,0.0440978292767041,0.20052408477842
opp_points_allowed_roll_30,eligible,eligible for at least one first-pass feature set,0.0459149698103347,0.20052408477842
opp_points_allowed_std_30,eligible,eligible for at least one first-pass feature set,0.0017576847822465,0.20052408477842
opp_points_allowed_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0039127221755602,0.20052408477842
opp_points_allowed_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0127942697131914,0.20052408477842
opp_points_allowed_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0107328041350541,0.20052408477842
opp_points_allowed_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0123181753464881,0.20052408477842
opp_pace_roll_5,eligible,eligible for at least one first-pass feature set,0.0296882127700686,0.20052408477842
opp_pace_roll_10,eligible,eligible for at least one first-pass feature set,0.0339532404122383,0.20052408477842
opp_pace_roll_30,eligible,eligible for at least one first-pass feature set,0.0369108474403888,0.20052408477842
opp_pace_std_30,eligible,eligible for at least one first-pass feature set,0.0075528677267167,0.20052408477842
opp_pace_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0007429671824308,0.20052408477842
opp_pace_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0054632666884319,0.20052408477842
opp_pace_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0029156319183612,0.20052408477842
opp_pace_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0040366898789496,0.20052408477842
opp_defensiveRating_roll_5,eligible,eligible for at least one first-pass feature set,0.0306606593481948,0.20052408477842
opp_defensiveRating_roll_10,eligible,eligible for at least one first-pass feature set,0.0355240576687212,0.20052408477842
opp_defensiveRating_roll_30,eligible,eligible for at least one first-pass feature set,0.0366390637643032,0.20052408477842
opp_defensiveRating_std_30,eligible,eligible for at least one first-pass feature set,-0.0085613094935241,0.20052408477842
opp_defensiveRating_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0042376044555528,0.20052408477842
opp_defensiveRating_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0126063112476802,0.20052408477842
opp_defensiveRating_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0109201601719293,0.20052408477842
opp_defensiveRating_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0124306475148417,0.20052408477842
opp_estimatedDefensiveRating_roll_5,drop,redundant first-pass feature family based on EDA redundancy review,0.0304293894308651,0.20052408477842
opp_estimatedDefensiveRating_roll_10,drop,redundant first-pass feature family based on EDA redundancy review,0.0353627245974821,0.20052408477842
opp_estimatedDefensiveRating_roll_30,drop,redundant first-pass feature family based on EDA redundancy review,0.0365178700533239,0.20052408477842
opp_estimatedDefensiveRating_std_30,drop,redundant first-pass feature family based on EDA redundancy review,-0.008120041188039,0.20052408477842
opp_estimatedDefensiveRating_momentum_5_vs_10,drop,redundant first-pass feature family based on EDA redundancy review,0.0040436229632066,0.20052408477842
opp_estimatedDefensiveRating_momentum_10_vs_30,drop,redundant first-pass feature family based on EDA redundancy review,0.0124920939172156,0.20052408477842
opp_estimatedDefensiveRating_z_5_vs_30,drop,redundant first-pass feature family based on EDA redundancy review,0.0107035061758755,0.20052408477842
opp_estimatedDefensiveRating_z_10_vs_30,drop,redundant first-pass feature family based on EDA redundancy review,0.0122188530415244,0.20052408477842
opp_fieldGoalsPercentage_allowed_roll_5,drop,redundant first-pass feature family based on EDA redundancy review,-0.0027902578613307,0.20052408477842
opp_fieldGoalsPercentage_allowed_roll_10,drop,redundant first-pass feature family based on EDA redundancy review,-0.0043047302417286,0.20052408477842
opp_fieldGoalsPercentage_allowed_roll_30,drop,redundant first-pass feature family based on EDA redundancy review,-0.0085111343341843,0.20052408477842
opp_fieldGoalsPercentage_allowed_std_30,drop,redundant first-pass feature family based on EDA redundancy review,-0.006755346226799,0.20052408477842
opp_fieldGoalsPercentage_allowed_momentum_5_vs_10,drop,redundant first-pass feature family based on EDA redundancy review,0.0012252456317279,0.20052408477842
opp_fieldGoalsPercentage_allowed_momentum_10_vs_30,drop,redundant first-pass feature family based on EDA redundancy review,0.0035039630896439,0.20052408477842
opp_fieldGoalsPercentage_allowed_z_5_vs_30,drop,redundant first-pass feature family based on EDA redundancy review,0.0028635146941091,0.20052408477842
opp_fieldGoalsPercentage_allowed_z_10_vs_30,drop,redundant first-pass feature family based on EDA redundancy review,0.0036319447245277,0.20052408477842
opp_effectiveFieldGoalPercentage_allowed_roll_5,eligible,eligible for at least one first-pass feature set,0.0223872143768837,0.20052408477842
opp_effectiveFieldGoalPercentage_allowed_roll_10,eligible,eligible for at least one first-pass feature set,0.026992079546061,0.20052408477842
opp_effectiveFieldGoalPercentage_allowed_roll_30,eligible,eligible for at least one first-pass feature set,0.0286677865218505,0.20052408477842
opp_effectiveFieldGoalPercentage_allowed_std_30,eligible,eligible for at least one first-pass feature set,-0.0029073955787718,0.20052408477842
opp_effectiveFieldGoalPercentage_allowed_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0026916678279528,0.20052408477842
opp_effectiveFieldGoalPercentage_allowed_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0100408699721297,0.20052408477842
opp_effectiveFieldGoalPercentage_allowed_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0079167244513806,0.20052408477842
opp_effectiveFieldGoalPercentage_allowed_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0095248723358272,0.20052408477842
opp_trueShootingPercentage_allowed_roll_5,eligible,eligible for at least one first-pass feature set,-0.0055770872662918,0.20052408477842
opp_trueShootingPercentage_allowed_roll_10,eligible,eligible for at least one first-pass feature set,-0.0069258197284485,0.20052408477842
opp_trueShootingPercentage_allowed_roll_30,eligible,eligible for at least one first-pass feature set,-0.0114619388279443,0.20052408477842
opp_trueShootingPercentage_allowed_std_30,eligible,eligible for at least one first-pass feature set,-0.0074701549250632,0.20052408477842
opp_trueShootingPercentage_allowed_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,7.68539385352393e-05,0.20052408477842
opp_trueShootingPercentage_allowed_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0029952299268897,0.20052408477842
opp_trueShootingPercentage_allowed_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0014426320732263,0.20052408477842
opp_trueShootingPercentage_allowed_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0029912882981332,0.20052408477842
opp_rebounds_allowed_roll_5,eligible,eligible for at least one first-pass feature set,-0.0057143513443868,0.20052408477842
opp_rebounds_allowed_roll_10,eligible,eligible for at least one first-pass feature set,-0.0074587883341151,0.20052408477842
opp_rebounds_allowed_roll_30,eligible,eligible for at least one first-pass feature set,-0.0057321834746154,0.20052408477842
opp_rebounds_allowed_std_30,eligible,eligible for at least one first-pass feature set,0.0061912418401164,0.20052408477842
opp_rebounds_allowed_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0004454886701907,0.20052408477842
opp_rebounds_allowed_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0048457387704366,0.20052408477842
opp_rebounds_allowed_z_5_vs_30,eligible,eligible for at least one first-pass feature set,-0.0027797264857885,0.20052408477842
opp_rebounds_allowed_z_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0051714239015461,0.20052408477842
opp_assists_allowed_roll_5,eligible,eligible for at least one first-pass feature set,0.0094226975219794,0.20052408477842
opp_assists_allowed_roll_10,eligible,eligible for at least one first-pass feature set,0.0111837931150944,0.20052408477842
opp_assists_allowed_roll_30,eligible,eligible for at least one first-pass feature set,0.0108248293342615,0.20052408477842
opp_assists_allowed_std_30,eligible,eligible for at least one first-pass feature set,-0.0097049901900684,0.20052408477842
opp_assists_allowed_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,-0.000179605526615,0.20052408477842
opp_assists_allowed_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0037764007199031,0.20052408477842
opp_assists_allowed_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0022972264562723,0.20052408477842
opp_assists_allowed_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.003787267561321,0.20052408477842
opp_steals_roll_5,eligible,eligible for at least one first-pass feature set,-0.0056616684113044,0.20052408477842
opp_steals_roll_10,eligible,eligible for at least one first-pass feature set,-0.0057068330413,0.20052408477842
opp_steals_roll_30,eligible,eligible for at least one first-pass feature set,-0.0047522505258907,0.20052408477842
opp_steals_std_30,eligible,eligible for at least one first-pass feature set,0.0010487600346987,0.20052408477842
opp_steals_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,-0.0017556167718371,0.20052408477842
opp_steals_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.003207401694377,0.20052408477842
opp_steals_z_5_vs_30,eligible,eligible for at least one first-pass feature set,-0.0033925622120497,0.20052408477842
opp_steals_z_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0032368449586612,0.20052408477842
opp_blocks_roll_5,eligible,eligible for at least one first-pass feature set,-0.009123551087106,0.20052408477842
opp_blocks_roll_10,eligible,eligible for at least one first-pass feature set,-0.0092521719451323,0.20052408477842
opp_blocks_roll_30,eligible,eligible for at least one first-pass feature set,-0.0058865272119528,0.20052408477842
opp_blocks_std_30,eligible,eligible for at least one first-pass feature set,-0.0016702421217693,0.20052408477842
opp_blocks_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,-0.0027786652841382,0.20052408477842
opp_blocks_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0072715610256426,0.20052408477842
opp_blocks_z_5_vs_30,eligible,eligible for at least one first-pass feature set,-0.0072184516246697,0.20052408477842
opp_blocks_z_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0075063214462705,0.20052408477842
opp_turnovers_forced_roll_5,eligible,eligible for at least one first-pass feature set,0.0129446261993365,0.20052408477842
opp_turnovers_forced_roll_10,eligible,eligible for at least one first-pass feature set,0.0174420773324618,0.20052408477842
opp_turnovers_forced_roll_30,eligible,eligible for at least one first-pass feature set,0.0231011076697843,0.20052408477842
opp_turnovers_forced_std_30,eligible,eligible for at least one first-pass feature set,0.0195995158132694,0.20052408477842
opp_turnovers_forced_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,-0.0018679361770262,0.20052408477842
opp_turnovers_forced_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0004323064631066,0.20052408477842
opp_turnovers_forced_z_5_vs_30,eligible,eligible for at least one first-pass feature set,-0.0017371708319779,0.20052408477842
opp_turnovers_forced_z_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0007132454739428,0.20052408477842
opp_fp_allowed_roll_5,eligible,eligible for at least one first-pass feature set,0.0429021879375236,0.2032215799614643
opp_fp_allowed_roll_10,eligible,eligible for at least one first-pass feature set,0.0468104678146128,0.2032215799614643
opp_fp_allowed_roll_30,eligible,eligible for at least one first-pass feature set,0.0471209149996496,0.2030520231213873
opp_fp_allowed_std_30,eligible,eligible for at least one first-pass feature set,0.0058315634236237,0.2056030828516377
opp_fp_allowed_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.004913305259611,0.2032215799614643
opp_fp_allowed_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0131974315576186,0.2032215799614643
opp_fp_allowed_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0116467179593708,0.2056030828516377
opp_fp_allowed_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0128461493358705,0.2056030828516377
opp_pointsInThePaint_allowed_roll_5,eligible,eligible for at least one first-pass feature set,0.0329764882888894,0.20052408477842
opp_pointsInThePaint_allowed_roll_10,eligible,eligible for at least one first-pass feature set,0.0348248297720374,0.20052408477842
opp_pointsInThePaint_allowed_roll_30,eligible,eligible for at least one first-pass feature set,0.0392733024874934,0.20052408477842
opp_pointsInThePaint_allowed_std_30,eligible,eligible for at least one first-pass feature set,0.0196046734845186,0.20052408477842
opp_pointsInThePaint_allowed_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0077300108712613,0.20052408477842
opp_pointsInThePaint_allowed_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0059861729460671,0.20052408477842
opp_pointsInThePaint_allowed_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0099190080650118,0.20052408477842
opp_pointsInThePaint_allowed_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0063694199248433,0.20052408477842
opp_pointsFastBreak_allowed_roll_5,eligible,eligible for at least one first-pass feature set,0.0166344364413934,0.20052408477842
opp_pointsFastBreak_allowed_roll_10,eligible,eligible for at least one first-pass feature set,0.0226534096906014,0.20052408477842
opp_pointsFastBreak_allowed_roll_30,eligible,eligible for at least one first-pass feature set,0.0259157417509942,0.20052408477842
opp_pointsFastBreak_allowed_std_30,eligible,eligible for at least one first-pass feature set,0.0156702474656422,0.20052408477842
opp_pointsFastBreak_allowed_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,-0.0016567163803712,0.20052408477842
opp_pointsFastBreak_allowed_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0047415960005679,0.20052408477842
opp_pointsFastBreak_allowed_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0011158646188827,0.20052408477842
opp_pointsFastBreak_allowed_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0036582082710313,0.20052408477842
opp_pointsSecondChance_allowed_roll_5,eligible,eligible for at least one first-pass feature set,0.0175107498092409,0.20052408477842
opp_pointsSecondChance_allowed_roll_10,eligible,eligible for at least one first-pass feature set,0.022442867717175,0.20052408477842
opp_pointsSecondChance_allowed_roll_30,eligible,eligible for at least one first-pass feature set,0.0316090680336924,0.20052408477842
opp_pointsSecondChance_allowed_std_30,eligible,eligible for at least one first-pass feature set,0.0106750992562279,0.20052408477842
opp_pointsSecondChance_allowed_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0011661755875182,0.20052408477842
opp_pointsSecondChance_allowed_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.00161601536281,0.20052408477842
opp_pointsSecondChance_allowed_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0015609064789286,0.20052408477842
opp_pointsSecondChance_allowed_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0013139304471852,0.20052408477842
opp_pointsFromTurnovers_allowed_roll_5,eligible,eligible for at least one first-pass feature set,0.0182318856076115,0.20052408477842
opp_pointsFromTurnovers_allowed_roll_10,eligible,eligible for at least one first-pass feature set,0.0235836410579407,0.20052408477842
opp_pointsFromTurnovers_allowed_roll_30,eligible,eligible for at least one first-pass feature set,0.0270436134563959,0.20052408477842
opp_pointsFromTurnovers_allowed_std_30,eligible,eligible for at least one first-pass feature set,0.0185895973998845,0.20052408477842
opp_pointsFromTurnovers_allowed_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,-0.0010393835372875,0.20052408477842
opp_pointsFromTurnovers_allowed_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0048109743799441,0.20052408477842
opp_pointsFromTurnovers_allowed_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0021100441718007,0.20052408477842
opp_pointsFromTurnovers_allowed_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0047929737947536,0.20052408477842
opp_pos_fp_allowed_roll_3,eligible,eligible for at least one first-pass feature set,-0.039260242670504,0.2030520231213873
opp_pos_fp_allowed_roll_5,eligible,eligible for at least one first-pass feature set,-0.0406595290952406,0.2030520231213873
opp_pos_fp_allowed_roll_10,eligible,eligible for at least one first-pass feature set,-0.0428075027312801,0.2030520231213873
opp_pos_fp_allowed_roll_30,eligible,eligible for at least one first-pass feature set,-0.0452196970336293,0.2030520231213873
